channel_elevation,channel_slope,channel_curvature,channel_along_track_distance,channel_dist_to_river_center,ridge1_elevation,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
112.0,0.0,0.007255554199458455,1920.0000000001676,9.762096774480824,119.41999816894531,0.006000010172340459,-0.0003555552164688882,1800.0000000004209,129.76209677422753,114.54000091552734,-0.00533320109050041,-2.2218492286923807e-05,330.00000000026347,1599.7620967743849,,,,,,,,,,,134.0,493.888888888889,1.2534224284463,730.0,332477.446726631,2,4,2467.89967101115,1132.39570402699,1,61302000331,61302000330211
111.0,0.0,0.0005555555555380983,1260.0000000008338,7.705645161120401,119.41999816894531,0.006000010172169246,-0.0004777781168644702,960.0000000016944,307.7056451602598,117.87999725341797,-0.0030001322428241254,-4.4453938799831184e-05,720.0000000003288,547.7056451616254,,,,,,,,,,,78.0,84.24,1.2534224284463,730.0,332266.610423466,2,2,2469.86332814707,1132.39570402699,1,61302000331,61302000330201
109.5,0.0,0.0,1440.0000000012283,14.612903227104198,115.72000122070312,-0.003999837239752705,-0.0004555426703648156,1319.9999999990139,105.3870967751102,114.44000244140625,0.0,-0.00015555487737645658,780.0000000008966,645.3870967732274,,,,,,,,,,,88.5,74.0,1.02549596010359,730.0,331670.919968844,2,2,2477.32522526357,966.390211108915,1,61302000331,61302000330171
109.0,0.0,0.0,959.999999999846,10.808467742320317,114.66999816894531,0.0,1.1113484701018593e-05,869.9999999995435,79.19153225798209,113.54000091552734,0.0019999186196819293,6.666395398573972e-05,450.00000000063045,499.1915322568952,,,,,,,,,,,63.0,60.4897959183674,1.01568586449511,63.0,331486.232472338,1,2,2480.07434525386,603.761289331967,1,61302000331,61302000330161
108.0,0.0,0.006422220866340088,779.9999999980289,11.473790323415528,113.77999877929688,-0.00033340454099794293,-3.334045409939576e-05,720.0000000001528,71.47379032129163,113.18000030517578,0.006666564941235242,0.00022221883136880783,329.99999999898176,461.47379032246266,,,,,,,,,,,54.0,74.8888888888889,1.14013556964083,54.0,331274.450106474,1,1,2482.43073381696,763.995196456586,1,61302000331,61302000330151
107.5,0.0,0.005555555555527871,1080.0000000003135,6.568548386833982,113.80999755859375,0.012000020345567767,-0.006211107042228209,1139.999999999579,66.56854838609934,112.94000244140625,0.004666646321681502,0.0002444373236832256,1289.9999999994977,216.56854838601816,113.43000030517578,0.01466674804706075,0.0005666690402682026,959.9999999999139,113.43145161356563,111.87999725341797,-0.001000213623057865,-8.477105877478498e-09,449.9999999998823,623.4314516135973,67.0,101.888888888889,1.26622029072129,67.0,331079.626200387,1,1,2484.78712238007,984.667257210697,1,61302000331,61302000330141
103.0,-0.016666666666812564,-0.001111111111140676,929.9999999998762,14.340725806090518,109.5999984741211,-0.00033340454100850545,-0.00022222730848573565,840.0000000009192,75.65927419286652,109.69000244140625,-0.0016665140787744692,8.477106943921487e-09,600.0000000001776,315.6592741936081,,,,,,,,,,,63.0,176.4,1.00337992611121,63.0,329289.984732181,1,1,2505.99461944802,811.706215329503,1,61302000331,61302000330051
102.5,0.0,0.0,1260.0000000000616,5.588709677644374,109.18000030517578,0.0,-8.889092339644176e-05,1169.999999999369,84.4112903230482,108.44000244140625,0.005000050862665812,0.00014444139268902277,629.9999999997189,624.4112903226984,108.66999816894531,0.024666595458789572,-0.005211113824043814,1349.9999999995937,95.58870967717644,108.3499984741211,0.012666575113949476,0.00047776963975772673,1469.9999999998815,215.5887096774643,84.0,0.0,1.00337992611121,84.0,329108.189568943,1,1,2508.35100801112,811.706215329503,1,61302000331,61302000330041
102.0,0.0,0.0,570.0000000003884,6.828629032757135,109.5,0.0,-0.0009666697184383941,389.99999999904554,173.17137096858568,107.02999877929688,0.002666727701787218,0.0003111182318685479,90.00000000063042,473.1713709670008,,,,,,,,,,,42.0,86.4,1.01957035550705,42.0,328881.109546327,1,1,2510.31466514704,1133.35731494266,1,61302000331,61302000330031
101.5,0.0,0.0,839.9999999995323,4.4032258067952625,108.68000030517578,0.01766662597687582,0.0001333279079980911,749.9999999992035,94.40322580712404,106.69000244140625,-0.003999837239603349,2.222696940225415e-05,359.99999999933493,484.4032258069926,,,,,,,,,,,63.0,293.04,1.01957035550705,63.0,328685.007804558,1,1,2512.27832228297,1133.35731494266,1,61302000331,61302000330021
99.5,0.0,0.0047333357068944735,960.0000000000006,7.711693548592962,104.86000061035156,0.17866668701318258,0.005955556233821547,1050.0000000001712,82.28830645157768,104.22000122070312,-0.000333404541017174,6.666395399276306e-05,1530.0000000000305,562.2883064514369,,,,,,,,,,,55.5,86.8055555555556,1.1226375292022,55.5,328088.36260022,1,1,2520.13295082665,1091.50865753559,1,61302000321,61302000320551
98.5,0.0,0.0,569.9999999986093,6.828629031202581,104.23999786376953,0.01066665649400315,0.0003555552164621891,419.99999999915013,143.17137096825655,103.58000183105469,-0.002333323160880205,6.666395399084655e-05,239.99999999832835,323.17137096907834,,,,,,,,,,,42.0,107.25,1.1226375292022,42.0,327712.11869092,1,1,2524.84572795286,1091.50865753559,1,61302000321,61302000320531
93.5,0.01666666666666755,0.001111111111111229,690.0000000005844,3.7016129027458646,99.20999908447266,0.006999969482439356,-0.0006333329942480586,600.0000000007358,86.2983870971027,98.22000122070312,-0.06499989827490191,-0.002922219170479005,510.000000000237,176.2983870976015,,,,,,,,,,,39.0,395.25,1.11804971397034,39.0,326316.075036084,1,1,2540.94771646741,1265.38413315614,1,61302000321,61302000320461
93.0,0.0,0.0,990.0000000016424,6.084677418281672,99.58000183105469,0.01500015258750147,0.00042222764754595133,1230.0000000009734,233.91532258104928,98.9000015258789,0.00033340454100697537,-2.2218492294767197e-05,1410.0000000016623,413.9153225817382,,,,,,,,,,,67.0,111.84,1.16509698199348,67.0,326085.562165457,1,1,2542.91137360333,1056.17012170833,1,61302000321,61302000320451
